trial seq trialInSeq block type direction rotation TR t t.offset
113 4 1 2 active -90 10.000000 1 0.000000 0.0
114 4 2 2 active 180 10.000000 1 0.000000 0.0
115 4 3 2 active 0 10.000000 1 0.000000 0.0
116 4 4 2 active 90 10.000000 1 0.000000 0.0
117 4 5 2 active -90 10.000000 1 0.000000 0.0
118 4 6 2 active 180 10.000000 1 0.000000 0.0
119 4 7 2 active 0 10.000000 1 0.000000 0.0
120 0 0 3 active 90 10.000000 1 0.000000 0.0
121 0 1 3 active -90 10.000000 1 0.000000 0.0
122 0 2 3 active 180 10.000000 1 0.000000 0.0
123 0 3 3 active 0 10.000000 1 0.000000 0.0
124 0 4 3 active 90 10.000000 1 0.000000 0.0
125 0 5 3 active -90 10.000000 1 0.000000 0.0
126 0 6 3 active 180 10.000000 1 0.000000 0.0
127 0 7 3 active 0 10.000000 1 0.000000 0.0
128 1 0 3 active 90 10.000000 1 0.000000 0.0
129 1 1 3 active -90 10.000000 1 0.000000 0.0
130 1 2 3 active 180 10.000000 1 0.000000 0.0
131 1 3 3 active 0 10.000000 1 0.000000 0.0
132 1 4 3 active 90 10.000000 1 0.000000 0.0
133 1 5 3 active -90 10.000000 1 0.000000 0.0
134 1 6 3 active 180 10.000000 1 0.000000 0.0
135 1 7 3 active 0 10.000000 1 0.000000 0.0
136 2 0 3 active 90 10.000000 1 0.000000 0.0
137 2 1 3 active -90 10.000000 1 0.000000 0.0
138 2 2 3 active 180 10.000000 1 0.000000 0.0
139 2 3 3 active 0 10.000000 1 0.000000 0.0
140 2 4 3 active 90 10.000000 1 0.000000 0.0
141 2 5 3 active -90 10.000000 1 0.000000 0.0
142 2 6 3 active 180 10.000000 1 0.000000 0.0
143 2 7 3 active 0 10.000000 1 0.000000 0.0
144 3 0 3 active 90 10.000000 1 0.000000 0.0
145 3 1 3 active -90 10.000000 1 0.000000 0.0
146 3 2 3 active 180 10.000000 1 0.000000 0.0
147 3 3 3 active 0 10.000000 1 0.000000 0.0
148 3 4 3 active 90 10.000000 1 0.000000 0.0
149 3 5 3 active -90 10.000000 1 0.000000 0.0
150 3 6 3 active 180 10.000000 1 0.000000 0.0
151 3 7 3 active 0 10.000000 1 0.000000 0.0
152 4 0 3 active 90 10.000000 1 0.000000 0.0
153 4 1 3 active -90 10.000000 1 0.000000 0.0
154 4 2 3 active 180 10.000000 1 0.000000 0.0
155 4 3 3 active 0 10.000000 1 0.000000 0.0
156 4 4 3 active 90 10.000000 1 0.000000 0.0
157 4 5 3 active -90 10.000000 1 0.000000 0.0
158 4 6 3 active 180 10.000000 1 0.000000 0.0
159 4 7 3 active 0 10.000000 1 0.000000 0.0
160 0 0 4 active 90 10.000000 1 0.000000 0.0
161 0 1 4 active -90 10.000000 1 0.000000 0.0
162 0 2 4 active 180 10.000000 1 0.000000 0.0
163 0 3 4 active 0 10.000000 1 0.000000 0.0
164 0 4 4 active 90 10.000000 1 0.000000 0.0
165 0 5 4 active -90 10.000000 1 0.000000 0.0
166 0 6 4 active 180 10.000000 1 0.000000 0.0
167 0 7 4 active 0 10.000000 1 0.000000 0.0
168 1 0 4 active 90 10.000000 1 0.000000 0.0
169 1 1 4 active -90 10.000000 1 0.000000 0.0
170 1 2 4 active 180 10.000000 1 0.000000 0.0
171 1 3 4 active 0 10.000000 1 0.000000 0.0
172 1 4 4 active 90 10.000000 1 0.000000 0.0
173 1 5 4 active -90 10.000000 1 0.000000 0.0
174 1 6 4 active 180 10.000000 1 0.000000 0.0
175 1 7 4 active 0 10.000000 1 0.000000 0.0
176 2 0 4 active 90 10.000000 1 0.000000 0.0
177 2 1 4 active -90 10.000000 1 0.000000 0.0
178 2 2 4 active 180 10.000000 1 0.000000 0.0
179 2 3 4 active 0 10.000000 1 0.000000 0.0
180 2 4 4 active 90 10.000000 1 0.000000 0.0
181 2 5 4 active -90 10.000000 1 0.000000 0.0
182 2 6 4 active 180 10.000000 1 0.000000 0.0
183 2 7 4 active 0 10.000000 1 0.000000 0.0
184 3 0 4 active 90 10.000000 1 0.000000 0.0
185 3 1 4 active -90 10.000000 1 0.000000 0.0
186 3 2 4 active 180 10.000000 1 0.000000 0.0
187 3 3 4 active 0 10.000000 1 0.000000 0.0
188 3 4 4 active 90 10.000000 1 0.000000 0.0
189 3 5 4 active -90 10.000000 1 0.000000 0.0
190 3 6 4 active 180 10.000000 1 0.000000 0.0
191 3 7 4 active 0 10.000000 1 0.000000 0.0
192 4 0 4 active 90 10.000000 1 0.000000 0.0
193 4 1 4 active -90 10.000000 1 0.000000 0.0
194 4 2 4 active 180 10.000000 1 0.000000 0.0
195 4 3 4 active 0 10.000000 1 0.000000 0.0
196 4 4 4 active 90 10.000000 1 0.000000 0.0
197 4 5 4 active -90 10.000000 1 0.000000 0.0
198 4 6 4 active 180 10.000000 1 0.000000 0.0
199 4 7 4 active 0 10.000000 1 0.000000 0.0
